"title","full_address","email","affiliations","type","established","phone"
"Lok Smriti Secondary School","Imadol-7, Lalitpur","N/A","N/A","Public","2049 BS","01-5201858, 982-3793035"
"Basic School Baraipur","Maharajgunj-4, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Gupteshwor Basic School","Rawa Besi-3, Khotang","N/A","N/A","Public","N/A","N/A"
"Madrassa Talimul Kuran Bairgiya","Samsi-3, Mahottari","N/A","N/A","Religious","N/A","N/A"
"Shrinagar Samudayik Basic School","Srinagar, Bhangaha-6, Mahottari","N/A","N/A","Public","N/A","N/A"
"Baraha Magargau Aadharbhut Vidyalaya","Rumdu, Barahapokhari-1, Khotang","N/A","N/A","Public","N/A","N/A"
"Karneswori Basic School","Bhairi Tolyan, Ramaroshan-6, Achham","N/A","N/A","Public","N/A","N/A"
"Rishiwsor Bal Jagriti Basic School","Jyamire, Manahari-9, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School","Jankot-8, Rolpa","N/A","N/A","Public","N/A","N/A"
"Madrassa Darulhoda Islamiya","Semrahana, Mayadevi-5, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Shree Saraswati Aadharbhut Vidyalaya, Pharula","Pharula, Kalimati-3, Salyan","N/A","N/A","Public","N/A","N/A"
"Bhumeswori Secondary School","Sunkhani, Sunkoshi-5, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Laxmi Secondary School","Risedi, Badikedar-1, Doti","N/A","N/A","Public","N/A","N/A"
"Shree Ban Devi Secondary School","Bekhsimle, Bhumlu-3, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Harow Point Academy","Amchok, Phakphokathum-3, Ilam","N/A","N/A","Private","N/A","N/A"
"Kalika Secondary School","Aanpubhanjayang, Pokhara-33, Kaski","N/A","N/A","Public","N/A","N/A"
"Bal Kalyan Basic School","Rainadevi Chhahara-3, Palpa","N/A","N/A","Public","N/A","N/A"
"Siddhi Ganesh Basic School","Bakhet, Kedarseu-4, Bajhang","N/A","N/A","Public","N/A","N/A"
"Arjun English Boarding School","Jurel Neta, Bhumikasthan-1, Arghakhanchi","N/A","N/A","Private","N/A","N/A"
"Adarsha Basic School","Chhatrakot-6, Gulmi","N/A","N/A","Public","N/A","N/A"
"Jhangal Kot Basic School","Jhangalkot, Bagmati-1, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Bhagawati Secondary School","Chautara, Dhawa, Bhimsen Thapa-4, Gorkha","N/A","N/A","Public","N/A","N/A"
"Adventist English School","Taranagar, Bhadrapur-4, Jhapa","N/A","N/A","Private","N/A","N/A"
"Rastriya Secondary School","Baspani, Kepilasgadhi-3, Khotang","N/A","N/A","Public","N/A","N/A"
"Shree M. Priston Academy","Godawari-10, Kailali","N/A","N/A","Private","N/A","N/A"
"Malika Basic School","Acharya Bada, Chandannath-2, Jumla","N/A","N/A","Public","N/A","N/A"
"Bhubaneshwori Basic School","Ghunde, Mahabharat-5, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Mangaleswori Basic School","Deudanda, Panchadewal Binayak-1, Achham","N/A","N/A","Public","N/A","N/A"
"Shree Siddha Devi Secondary School","Deurali, Aarughat-10, Gorkha","N/A","N/A","Public","N/A","N/A"
"Aaaruni English Boarding School","Balubadi, Kachankawal-7, Jhapa","N/A","N/A","Private","N/A","N/A"
"Hillside English Boarding School","Tarkeshwar, Nuwakot","N/A","N/A","Private","N/A","N/A"
"Janapriya Secondary School","Bhatkhola, Phedikhola-3, Syangja","N/A","National Examinations Board","Public","N/A","N/A"
"Dalit Basic School Muksar","Baldara, Golbazar-1, Siraha","N/A","N/A","Public","N/A","N/A"
"Galaxy English Boarding School","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Ne Basic School Baskot","Baskot, Naubahini-7, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Indra Jyoti Basic School","Dedkula, Chhedagad-2, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Bright Future English Boarding School","Barju, Sunsari","N/A","N/A","Private","N/A","N/A"
"Janata Basic School Andipati","Aandipatti, Hanumannagar Kankalini-6, Saptari","N/A","N/A","Public","N/A","N/A"
"Temal Secondary School","Kalleri, Temal-4, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Saraswati Secondary School","Ramite, Aathrai Tribeni-2, Taplejung","N/A","N/A","Public","N/A","N/A"
"Shree Janata Basic School","Darling, Badigad-9, Baglung","N/A","N/A","Public","N/A","N/A"
"Pragati Basic School","Dhaka Kanda, Sisne-4, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Bhairabi Basic School","Belkhola, Bangad Kupinde-1, Salyan","N/A","N/A","Public","N/A","N/A"
"Jivan Jyoti Basic School Thadagada","Thadagada, Panchapuri-1, Surkhet","N/A","N/A","Public","N/A","N/A"
"Shree Shalija Secondary School","Shalija, Jaljala-6, Parbat","N/A","National Examinations Board","Public","N/A","N/A"
"Bhagawati Basic School","Rainadevi Chhahara-2, Palpa","N/A","N/A","Public","N/A","N/A"
"Dasharath Basic School","Garja, Phatuwa Bijayapur-11, Rautahat","N/A","N/A","Public","N/A","N/A"
"Dharadevi Secondary School","Takatung, Mathagadhi-8, Palpa","N/A","N/A","Public","N/A","N/A"
"Barjwang Nice Academy","Barjwang, Swargadwari-3, Pyuthan","N/A","N/A","Private","N/A","N/A"
"Joyti Samudayik Primary School","Barahathawa-7, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Namadev Basic School","Gallek, Kedarseu-9, Bajhang","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School","Babiya, Dhanpalthan-4, Morang","N/A","N/A","Public","N/A","N/A"
"Mahendra Basic School","Jenla-8, Bhaktapur","N/A","N/A","Public","N/A","N/A"
"Shree Kamalamai Basic School","Maili, Likhu Pike-2, Solukhumbu","N/A","N/A","Public","N/A","N/A"
"Pashupati Basic School","Sahadatpur, Janaki-4, Banke","N/A","N/A","Public","N/A","N/A"
"Devi Basic School","Kailash-10, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Bhumiraj Basic School","Daulikot, Bungal-6, Bajhang","N/A","N/A","Public","N/A","N/A"
"Shree Ganesh Basic School","Upallo Tiram, Mandavi-1, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Balbatika Montessori School","Dhangadhi, Kailali","N/A","N/A","Private","N/A","N/A"
"Parwath Vidhya Mandir","Harboni, Barju-4, Sunsari","N/A","N/A","Private","N/A","N/A"
"Kol Danda Primary School","Lapal, Runtigadhi-1, Rolpa","N/A","N/A","Public","N/A","N/A"
"Sirangee Gumba Basic School","Chumanuwri-5, Gorkha","N/A","N/A","Public","N/A","N/A"
"Sanstha Samajkali Basic School","Waplukha, Khotehang-2, Khotang","N/A","N/A","Public","N/A","N/A"
"Pal Tashi Chyoling Gumba","Pokhara-9, Kaski","N/A","N/A","Religious","N/A","N/A"
"Bagmati English Boarding School","Phakphokathum, Ilam","N/A","N/A","Private","N/A","N/A"
"Dewakidevi Basic School","Gourishankar, Ishworpur-8, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Bhagawati Basic School","Junichande-1, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Mahendra Basic School","Linkhim, Phaktanglung-3, Taplejung","N/A","N/A","Public","N/A","N/A"
"Baljyoti Basic School","Bhimad-8, Tanahun","N/A","N/A","Public","N/A","N/A"
"Shree Narayansthan Basic School","Panchkhal-7, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Arunodaya Basic School","Kudapani, Panini-4, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Gyan Udhyan English Academy","Mayadevi-8, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Surya Basic School Garpan","Birendranagar-16, Surkhet","N/A","N/A","Public","N/A","N/A"
"Shree Rastriya Basic School","Devghat-4, Tanahun","N/A","N/A","Public","N/A","N/A"
"Shree Majhaitar Basic School","Sibuwa, Hilihang-4, Panchthar","N/A","N/A","Public","N/A","N/A"
"Sat Kanya Primary School","Tallogarling, Raksirang-7, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Jaljale, Tripurasundari-4, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Ratna Rajya Laxmi Secondary School","Kuvinde Hacheka, Rawa Besi-1, Khotang","N/A","N/A","Public","N/A","N/A"
"Mahendrodaya Adharbhut Bidyalaya Lilima","Lilima, Diprung Chuichumma-1, Khotang","N/A","N/A","Public","N/A","N/A"
"Bachchhala Devi Adharbhut Bidhyalaya","Betinee, Kalika-3, Rasuwa","N/A","N/A","Public","N/A","N/A"
"Chalantar Basic School","Daanchhi, Kageshwari Manohara-4, Kathmandu","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Primary Dada Gau","Dandagau, Narayan-10, Dailekh","N/A","N/A","Public","N/A","N/A"
"Sundaram English Boarding School","Garuda, Rautahat","N/A","N/A","Private","N/A","N/A"
"Durga Secondary School","Dewali, Badikedar-1, Doti","N/A","N/A","Public","N/A","N/A"
"Janata Aadharbhut Vidhyalaya, Singiyaun","Siguan, Rajbiraj-12, Saptari","N/A","N/A","Public","N/A","N/A"
"Almdarastul Islamiya Najmulhoda","Sammarimai-7, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Sun Rise English School","Chautara Sangachokgadhi, Sindhupalchok","N/A","N/A","Private","N/A","N/A"
"Maya Devi Janajagriti Basic School","New Durganagar, Butwal-11, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Mount Kanchan Valley Secondary English School","Rabi, Miklajung-4, Panchthar","N/A","N/A","Private","N/A","N/A"
"Prathamik Bidhalay Purainiya","Barahathawa-12, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Gyan Jyoti Basic School","Mainahiya, Shuddhodhan-4, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Himalaya Janajagriti Basic School Bachhigaun","Wachchhigaun, Putha Uttarganga-10, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Buddha Bhumi English School","Mayadevi-1, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Children Heaven English Boarding School","Gonggabu, Tokha-8, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Yapi Bhairab Basic School","Changunarayan-3, Bhaktapur","N/A","N/A","Public","N/A","N/A"
"Janta Aa Vi Brahampuri","Arnama-2, Siraha","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School Gangapur","Gangapur, Narainapur-2, Banke","N/A","N/A","Public","N/A","N/A"
"Gyankunja Montessori","Itahari, Sunsari","N/A","N/A","Private","N/A","N/A"
"Janata Basic School","Harshpur, Bhangaha-7, Mahottari","N/A","N/A","Public","N/A","N/A"
"Saraswati Aa Vi","Bariyarpatti-3, Siraha","N/A","N/A","Public","N/A","N/A"
"Soniya Mai Aadharbhut Bidhalaya","Kabilasi-4, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Grande School","Sukedhara-4, Kathmandu","N/A","N/A","Private","N/A","01-4015123"
"Jalpadevi Basic School","Bhaldanda, Siddhalek-7, Dhading","N/A","N/A","Public","N/A","N/A"
"Madarsa Gausiya Garib Nawaj","Sabjimandi, Dhangadhi-2, Kailali","N/A","N/A","Public","N/A","N/A"
"Shree Indra Kanya Secondary School","Aaru Arbang, Aarughat-6, Gorkha","N/A","N/A","Public","N/A","N/A"
"Madarsa Rahamania Al Salfia Govindpur","Golbazar-9, Siraha","N/A","N/A","Religious","N/A","N/A"
"Bright Future Academy","Lekbeshi, Surkhet","N/A","N/A","Private","N/A","N/A"
"Modan Baba Sa Adharbhut Bidhalay","Salempur, Kabilasi-8, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Machchhendra Devi Aadharbhut Vidyalaya","Rainadevi Chhahara-2, Palpa","N/A","N/A","Public","N/A","N/A"
"Meyampa Basic School","Mewa, Tumbewa-2, Panchthar","N/A","N/A","Public","N/A","N/A"
"Bal Jyoti Basic School","Buniyad, Phatuwa Bijayapur-8, Rautahat","N/A","N/A","Public","N/A","N/A"
"Samudayik Pabi, Brahmsthantol","Barahathawa-10, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Nepal Dalit Mukti Basic School","Dhore, Pakaha Mainpur-9, Parsa","N/A","N/A","Public","N/A","N/A"
"Singha Adarsha Basic School","Lodiya, Mai-10, Ilam","N/A","N/A","Public","N/A","N/A"
"Shiva Shakti Primary School","Lamtihawa, Lumbini Sanskritik-2, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Yuba Jana Jagaran Basic School","Kural, Triveni-3, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Sarsepu Basic School","Sarsepu, Gaurishankar-3, Dolakha","N/A","N/A","Public","N/A","N/A"
"Samsher Smriti Basic School","Naraynapur, Omsatiya-5, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Bp Janta Basic School","Arji, Hanumannagar Kankalini-4, Saptari","N/A","N/A","Public","N/A","N/A"
"Gupteshwor Secondary School","Chokpur, Aathrai Tribeni-2, Taplejung","N/A","N/A","Public","N/A","N/A"
"Sunflower English Boarding School","Biruwa-1, Syangja","N/A","N/A","Private","N/A","N/A"
"Tanahun Dreamland Boarding School","Vyas-12, Tanahun","N/A","N/A","Private","N/A","N/A"
"Sunga Public English School","Pathari Shanishchare-5, Morang","N/A","N/A","Private","N/A","N/A"
"Bbas English Boarding School","Thakurdwara, Thakurbaba-9, Bardiya","N/A","N/A","Private","N/A","N/A"
"Janasewi Basic School","Dangpur, Bansgadhi-6, Bardiya","N/A","N/A","Public","N/A","N/A"
"Bliss Mimosa Montessori School","Pokhara, Kaski","N/A","N/A","Private","N/A","N/A"
"Jeevonddhar Primary School","Mangha, Sunil Smriti-5, Rolpa","N/A","N/A","Public","N/A","N/A"
"Janta Primary School Babai Hattikhal","Bheriganga-5, Surkhet","N/A","N/A","Public","N/A","N/A"
"Mithila Child Academy","Mahottari","N/A","N/A","Private","N/A","N/A"
"Deurali Basic School","Darling, Badigad-10, Baglung","N/A","N/A","Public","N/A","N/A"
"Panchayat Ni Secondary School Ichol","Ichoul, Ramdhuni-6, Sunsari","N/A","N/A","Public","N/A","N/A"
"Bhagawati Secondary School","Lamiswara, Aandhikhola-6, Syangja","N/A","N/A","Public","N/A","N/A"
"Biruwa Basic School","Mallahooni, Jagannath-2, Bajura","N/A","N/A","Public","N/A","N/A"
"Siddha Bahira Balak Ko Bidhyalaya","Birendranagar-8, Surkhet","N/A","N/A","Public","N/A","N/A"
"Bal Kalyan Basic School, Chaphamandu","Chaphamandu, Ramaroshan-2, Achham","N/A","N/A","Public","N/A","N/A"
"Shree Sharada Secondary School","Phalante, Bhumlu-7, Kavrepalanchok","N/A","National Examinations Board","Public","N/A","N/A"
"Manorama English Boarding School Basahiya","Basahiya, Pratappur-5, Parasi","N/A","N/A","Private","N/A","N/A"
"Biddhyasagar Academy Gochekhola","Maintada, Bheriganga-8, Surkhet","N/A","N/A","Private","N/A","N/A"
"Lalit Bikash Lower Secondary School","Kuti Saugal-8, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Madarsa Faijane Madina Dhabouli","Shahidnagar-5, Dhanusha","N/A","N/A","Religious","N/A","N/A"
"Jalpa Devi Basic School","Meringden-2, Taplejung","N/A","N/A","Public","N/A","N/A"
"Nawa Durga Basic School","Gaindakot-1, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Madarsa Ahle Sunnat Faije Mustafa Naimiya Ghingaha","Ghingaha, Krishnanagar-11, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Shree Hemkunj Dynamic Boarding School","Khatyad, Mugu","N/A","N/A","Private","N/A","N/A"
"Bal Bikash Basic School","Dhadra, Ratuwamai-9, Morang","N/A","N/A","Public","N/A","N/A"
"Vedanga International School","Rabibhawan-14, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shiksha Bodhani Madhyamik Vidhyalaya, Rudrapur","Hupsekot-5, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Sri Nepal National Basic School","Hardaspur, Parsagadhi-4, Parsa","N/A","N/A","Public","N/A","N/A"
"Pathfinder English Boarding School","Durlung, Kushma, Parbat","N/A","N/A","Private","N/A","N/A"
"Janasiddha Secondary School","Chitre, Pata Chautara, Modi-8, Parbat","N/A","N/A","Public","N/A","N/A"
"Holy Quran Memorization Center","Bhaisahiya, Lumbini Sanskritik-7, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Tatopani English Boarding School","Beni-4, Myagdi","N/A","N/A","Private","N/A","N/A"
"Ramkot Basic School","Damuka, Chandrakot-7, Gulmi","N/A","N/A","Public","N/A","N/A"
"Nawa Jyoti Basic","Dhirgamandau, Bogatan Phudsil-5, Doti","N/A","N/A","Public","N/A","N/A"
"Pashupati Basic School","Chayangi, Sarkegad-6, Humla","N/A","N/A","Public","N/A","N/A"
"Madrassa Islamiya Rasunganj","Jhapa","N/A","N/A","Religious","N/A","N/A"
"World Vision Academy Basic School","Barbardiya-2, Bardiya","N/A","N/A","Private","N/A","N/A"
"Kalika English Boarding School","Fulgama, Nagarain-1, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Sundrawati Basic School","Damarang, Bhimeshwor-1, Dolakha","N/A","N/A","Public","N/A","N/A"
"Lovely Home Innovative School","Siddhipur, Mahalaxmi, Lalitpur","N/A","N/A","Private","N/A","N/A"
"Bal Srijana English Boarding School","Mangalbare, Pathari Shanishchare-4, Morang","N/A","N/A","Private","N/A","N/A"
"Sishu Adharshila School","Shahidget, Ghorahi-15, Dang","N/A","N/A","Public","N/A","N/A"
"Shree Nepal Rastriya Basic School","Ramdi Jujeneta, Mandavi-5, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Gangate Academy","Lekbeshi, Surkhet","N/A","N/A","Private","N/A","N/A"
"Kankalani Basic School","Lahi Tole, Koshi-6, Sunsari","N/A","N/A","Public","N/A","N/A"
"Shree Nirjala Basic School","Deuralitar, Bhanu-8, Tanahun","N/A","N/A","Public","N/A","N/A"
"Kedarnath Vidhya Niketan","Dhangadhi-12, Kailali","N/A","N/A","Private","N/A","N/A"
"Bhagawati Basic School","Pulung, Madi-6, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Monalisa Internation English Boarding School","Chanai, Shivaraj-8, Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Mahalaxmi Basic School","Santi Chowk, Damak-9, Jhapa","N/A","N/A","Public","N/A","N/A"
"Chhinnamasta Educational Academy","Kahchan, Rajbiraj, Bodebarsain-7, Saptari","N/A","National Examinations Board, CTEVT","Private","2053 BS","031-520830, 031-522830"
"Jeevan Jyoti Secondary School, Ajirkot","Birawatar, Chyangli, Ajirkot-3, Gorkha","N/A","National Examinations Board","Public","N/A","064-690272"
"Hatti Sunde Basic School","Gundi, Rapti-13, Chitwan","N/A","N/A","Public","N/A","N/A"
"Shree Bal Laxmi Aadharbhoot Bidyalay, Hathibandha","Hathibandha, Jahada-3, Morang","N/A","N/A","Public","N/A","N/A"
"Rani Basic School","Ikhabu, Phaktanglung-4, Taplejung","N/A","N/A","Public","N/A","N/A"
"Real Kids Home","Gokarneshwar-6, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Siwalaya Basic School","Shiwalaya, Belaka-3, Udayapur","N/A","N/A","Public","N/A","N/A"
"Bhimeshwori Basic School","Wakchakha, Ramprasadrai-8, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Kalasilla Basic School","Kayari, Sanni Triveni-3, Kalikot","N/A","N/A","Public","N/A","N/A"
"Bright Future Academic","Nepalgunj, Banke","N/A","N/A","Private","N/A","N/A"
"Naumule Basic School","Dhamali, Pachaljharana-2, Kalikot","N/A","N/A","Public","N/A","N/A"
"Bheri Basic School","Baijibara, Kaike-5, Dolpa","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School, Kotghangare","Sayal-4, Doti","N/A","N/A","Public","N/A","N/A"
"Dharapani Basic School","Mudhebash, Todke, Chaubise-2, Dhankuta","N/A","N/A","Public","N/A","N/A"
"Madrassa Isalamiya A S Garibul O Birta","Birta, Devdaha-1, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Jana Jagriti Primary School","Chhapa, Runtigadhi-6, Rolpa","N/A","N/A","Public","N/A","N/A"
"Bhairab Basic School","Bhadeishin, Aadarsh-5, Doti","N/A","N/A","Public","N/A","N/A"
"Lekh Besi Primary School","Manmai, Nalgad-8, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Lifelight Education Home","Jhabahi, Joshipur-4, Kailali","N/A","N/A","Private","N/A","N/A"
"Amar Jyoti Basic School","Bairagnath, Sunwal-8, Parasi","N/A","N/A","Public","N/A","N/A"
"Shree Medhawi Boarding School","Dhobiyare, Gramthan-7, Morang","N/A","N/A","Private","N/A","N/A"
"Janata Basic School, Parsa","Bhangaha-6, Mahottari","N/A","N/A","Public","N/A","N/A"
"Shree Shiva Narsing Shikshyalaya","Hadigaun-5, Kathmandu","N/A","International Curriculum Association","Private","N/A","+977 01-4541467, +977 9849534634"
"Chandrodaya Adharbhut Bidyalaya","Miklajung-1, Morang","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Singyahi, Bhangaha-2, Mahottari","N/A","N/A","Public","N/A","N/A"
"Jivan Jyoti Basic School","Kailash-9, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Bal Jyoti Basic School","Tansen-7, Palpa","N/A","N/A","Public","N/A","N/A"
"Basic School Bajarahi","Bajrahi, Jaleshwor-8, Mahottari","N/A","N/A","Public","N/A","N/A"
"Ranjanadevi Basic School","Khijidemba-7, Okhaldhunga","N/A","N/A","Public","N/A","N/A"
"Dhanusha Green Hill National Academy","Simradhi Gadhi, Sabaila, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Shree Hernemadu Basic School","Okharbhitta, Tilagufa-8, Kalikot","N/A","N/A","Public","N/A","N/A"
"Siddheswori Aadharbhut School","Nigale, Diktel Rupakot Majhuwagadhi-2, Khotang","N/A","N/A","Public","N/A","N/A"
"Nurul Olum Madrassa, Basantapur","Harnampur, Mayadevi-7, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Sherr Topre Aadharabhut School","Bajhakateri, Madane-2, Gulmi","N/A","N/A","Public","N/A","N/A"
"Jana Bikash Basic School","Krishna Tole, Chhedagad-3, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Buddhi Bikash Basic School","Sirupata, Tanjakot-4, Humla","N/A","N/A","Public","N/A","N/A"
"Hima Aadhabhut Bidhyala Koireali","Hima-2, Jumla","N/A","N/A","Public","N/A","N/A"
"Shiv English Boarding School","Bishaharpur, Gaushala, Mahottari","N/A","N/A","Private","N/A","N/A"
"Panchase Siddababa English Boarding School","Dimuwa, Modi-6, Parbat","N/A","N/A","Private","N/A","N/A"
"Kotahimai Basic School","Gonah Mangalpur, Mayadevi-5, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Rose Dinamic English Boarding School","Phopli, Naubahini-8, Pyuthan","N/A","N/A","Private","N/A","N/A"
"Basic School","Rolpa","N/A","N/A","Public","N/A","N/A"
"Jana Chetana Basic School","Chaurjahari-14, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Janajati Basic School, Shiddhapur Siyarahi","Sakhuwa Prasauni-1, Parsa","N/A","N/A","Public","N/A","N/A"
"Chhamke Basic School","Rampur-1, Palpa","N/A","N/A","Public","N/A","N/A"
"Bhagawati Basic School","Kukurgare, Gangadev-3, Rolpa","N/A","N/A","Public","N/A","N/A"
"Ra Adharabhut School Mallahtole","Saptakoshi-10, Saptari","N/A","N/A","Public","N/A","N/A"
"Jana Kalyan Basic School","Lamadanda, Chaurjahari-14, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Maheshwara Basic School","Nindakhu-11, Ilam","N/A","N/A","Public","N/A","N/A"
"Shree Saraswati Basic School","Loli, Sanphebagar-2, Achham","N/A","N/A","Public","N/A","N/A"
"Barhabise Bidhyakunja","Barhabise, Vyas-6, Tanahun","N/A","N/A","Private","N/A","N/A"
"Arunodaya Secondary School","Matragaun, Kakani-8, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Yuwabarsa Basic School","Baniyagaun, Nalgad-11, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Sahid Igal Basic School","Danda Tole, Lalbandi-7, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Janata English Boarding School","Udai, Mahakali-9, Darchula","N/A","N/A","Private","N/A","N/A"
"Karlim Basic School","Bihunkot, Kathekhola-5, Baglung","N/A","N/A","Public","N/A","N/A"
"Jinis Sanjan Yadav Janta Basic School Sitapur Pr Dh","Sitapur, Laxmipur Patari-6, Siraha","N/A","N/A","Public","N/A","N/A"
"Global Home School","Godawari, Lalitpur","N/A","N/A","Private","N/A","N/A"
"Bhimsen Secondary School","Chautara Sangachokgadhi-10, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Saraswati Aa Vi Badahari","Badahari, Bariyarpatti-1, Siraha","N/A","N/A","Public","N/A","N/A"
"Bageswori Basic School","Pajaru, Chhedagad-9, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Jivan Jyoti Basic School","Metrang, Ichchhakamana-1, Chitwan","N/A","N/A","Public","N/A","N/A"
"Gopal Bhawani Basic School","Aadarsh, Doti","N/A","N/A","Public","N/A","N/A"
"Janapriya Secondary School","Damek, Jaimini-2, Baglung","N/A","N/A","Public","N/A","N/A"
"Madarsha Islamiya Prasotipur","Lalparsa, Birgunj-30, Parsa","N/A","N/A","Public","N/A","N/A"
"Bidhyajyoti English Boarding School","Chhedagad, Jajarkot","N/A","N/A","Private","N/A","N/A"
"Thotne Singraj Manrani Basic School","Bansthala, Maiwakhola-2, Taplejung","N/A","N/A","Public","N/A","N/A"
"Nunarini Madrassa Basic School","Amardha, Sunwarshi-6, Morang","N/A","N/A","Religious","N/A","N/A"
"Chitre Bhanjyang Garden English Boarding School","Chitre, Harinas-4, Syangja","N/A","N/A","Private","N/A","N/A"
"Shree Janata Primary School","Basantpur, Haripurwa-9, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Basic School","Holaiya, Gadhi-5, Sunsari","N/A","N/A","Public","N/A","N/A"
"Kedar Basic School","Maubhera, Bitthadchir-2, Bajhang","N/A","N/A","Public","N/A","N/A"
"Nawajyoti Basic School","Salikot, Gaumul-6, Bajura","N/A","N/A","Public","N/A","N/A"
"Surya Adarsha English Boarding School","Birgunj-24, Parsa","N/A","N/A","Private","N/A","N/A"
"New Horizon English School","Jitpur Simara, Bara","N/A","N/A","Private","N/A","N/A"
"Banarashi English Boarding School","Behara, Jitpur Simara-10, Bara","N/A","N/A","Private","N/A","N/A"
"Jhimruk English Boarding School","Bijuli, Airawati-6, Pyuthan","N/A","N/A","Private","N/A","N/A"
"Shree Janachetana Basic School","Bijayakharka, Diktel Rupakot Majhuwagadhi-15, Khotang","N/A","N/A","Public","N/A","N/A"
"Idris Memorial English Boarding School","Rajpur, Rautahat","N/A","N/A","Private","N/A","N/A"
"Durga Bhawani Basic School","Karmahana, Banganga-3, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Sarswati English Boarding School","Dakneshwori, Saptari","N/A","N/A","Private","N/A","N/A"
"Sunrise English Boarding School Simar","Simar, Dilasaini-3, Baitadi","N/A","N/A","Private","N/A","N/A"
"Shree Prabhat Basic School","Madi-8, Kaski","N/A","N/A","Public","N/A","N/A"
"Dalit Sa Basic School","Chinimil Tandi, Barahathawa-8, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Gurukul Nepal Academy","Phungling-7, Taplejung","N/A","N/A","Private","N/A","N/A"
"New Nepal English Boarding School","Divarna, Sandhikharka-11, Arghakhanchi","N/A","N/A","Private","N/A","N/A"
"Buddha Basic School","Sundarharaicha-6, Morang","N/A","N/A","Public","N/A","N/A"
